course,covid,firstgen,gender,race_ethnicity,term,grade,semester
Chem1,impacted,N,Female ,Asian,20202,B+,2020 Spring
Chem1,impacted,N,Female ,Asian,20202,F,2020 Spring
Chem1,impacted,N,Female ,Asian,20202,A,2020 Spring
Chem1,impacted,N,Female ,Asian,20202,B-,2020 Spring
Chem1,impacted,N,Female ,Asian,20202,B-,2020 Spring
Chem1,impacted,N,Female ,Asian,20202,A-,2020 Spring
Chem1,impacted,N,Female ,Black or African American,20202,C,2020 Spring
Chem1,impacted,N,Female ,Black or African American,20202,F,2020 Spring
Chem1,impacted,N,Female ,Black or African American,20202,A,2020 Spring
Chem1,impacted,N,Female ,Black or African American,20202,C+,2020 Spring
Chem1,impacted,N,Female ,Black or African American,20202,A,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,W,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,C+,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,A-,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,A+,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,A-,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,C-,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,F,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,A,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,A,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,C+,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,F,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,C,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,B,2020 Spring
Chem1,impacted,N,Female ,Hispanic,20202,C,2020 Spring
Chem1,impacted,N,Female ,Two or more races,20202,A-,2020 Spring
Chem1,impacted,N,Female ,Two or more races,20202,A+,2020 Spring
Chem1,impacted,N,Female ,U.S. Nonresident,20202,A+,2020 Spring
Chem1,impacted,N,Female ,U.S. Nonresident,20202,A-,2020 Spring
Chem1,impacted,N,Female ,U.S. Nonresident,20202,C,2020 Spring
Chem1,impacted,N,Female ,U.S. Nonresident,20202,B,2020 Spring
Chem1,impacted,N,Female ,U.S. Nonresident,20202,B-,2020 Spring
Chem1,impacted,N,Female ,U.S. Nonresident,20202,A+,2020 Spring
Chem1,impacted,N,Female ,U.S. Nonresident,20202,A-,2020 Spring
Chem1,impacted,N,Female ,Unknown race and ethnicity,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,C-,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,C+,2020 Spring
Chem1,impacted,N,Female ,White,20202,C+,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,C+,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,F,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,B+,2020 Spring
Chem1,impacted,N,Female ,White,20202,B+,2020 Spring
Chem1,impacted,N,Female ,White,20202,B+,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,B+,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,F,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,F,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,B+,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,F,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,B+,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,A-,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,C,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,F,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,A,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
Chem1,impacted,N,Female ,White,20202,C+,2020 Spring
Chem1,impacted,N,Female ,White,20202,B,2020 Spring
Chem1,impacted,N,Female ,White,20202,B-,2020 Spring
Chem1,impacted,N,Female ,White,20202,A+,2020 Spring
Chem1,impacted,N,Female ,White,20202,W,2020 Spring
